Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Carbon Storage (kg)
Fraxinus excelsior,6,1.8,4,12.6,22.3,81.59999999999999
Fraxinus excelsior,5,1.5,1.5,1.8,4.5,7.9
Fraxinus excelsior,5,1.5,1.5,1.8,3.8,7.9
Fraxinus excelsior,5,1.5,1.5,1.8,4,7.9
Fraxinus excelsior,5,1.5,1.5,1.8,4.5,7.9
Fraxinus excelsior,5,1.5,1.5,1.8,4.3,7.9
Fraxinus excelsior,5,1.5,1.5,1.8,4.3,7.9
Malus sylvestris,4,1.2,4,12.6,21.8,280.5
Malus sylvestris,4,1.2,3,7.1,9.1,104
Morus nigra,4,1.2,3,7.1,7.8,3.1
Morus nigra,4,1.2,3,7.1,7.8,3.1
Morus nigra,4,1.2,3,7.1,7.8,3.1
Morus nigra,4,1.2,3,7.1,7.8,3.1
Morus nigra,4,1.2,4,12.6,14.6,20.1
Populus nigra,12,3.6,5,19.6,47.3,52.3
Populus nigra,18,5.4,3,7.1,31.6,118
Populus nigra,18,5.4,3,7.1,28,118
Populus nigra,14,4.2,4,12.6,29.5,67.90000000000001
Populus nigra,20,6,4,12.6,39.5,67.90000000000001
Populus nigra,20,6,4,12.6,51.3,67.90000000000001
Populus nigra,20,6,4,12.6,48.3,67.90000000000001
Populus nigra,20,6,4,12.6,51.3,67.90000000000001
Populus nigra,20,6,4,12.6,45.4,67.90000000000001
Populus nigra,20,6,4,12.6,59.2,185.6
Populus nigra,20,6,4,12.6,51.3,67.90000000000001
Prunus domestica,4,1.2,3,7.1,9.699999999999999,68
Prunus,8,2.4,3,7.1,11.6,68
Prunus,8,2.4,3,7.1,13,25.3
Prunus avium,6,1.8,4,12.6,18.3,48.2
Prunus avium,6,1.8,4,12.6,16.4,33.1
Prunus avium,5,1.5,4,12.6,14.2,12.3
Prunus avium,4,1.2,4,12.6,11.8,12.3
Prunus avium,5,1.5,4,12.6,22.6,308.7
Prunus domestica,4,1.2,3,7.1,10.1,137
Prunus avium,5,1.5,4,12.6,11.2,8.9
Prunus avium,5,1.5,4,12.6,13.5,8.9
Prunus avium,12,3.6,3,7.1,18.4,115
Prunus avium,12,3.6,3,7.1,19.9,198
Prunus avium,3.5,1,3,7.1,7.2,21.3
