Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,Count
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0,0.08,,,32.6,0.17,,0.39,2.5,6,1.8,4,12.6,22.5,1.3,46.11793447929382,11.09027482624205,POINT (11.09027482624205 46.11793447929382),1
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0,0.08,,,34.6,0.18,,0.41,2.5,6,1.8,4,12.6,23.8,1.4,46.11799955641228,11.09022047103091,POINT (11.09022047103091 46.11799955641228),1
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0,0.07000000000000001,,,30.6,0.16,,0.38,2.5,6,1.8,4,12.6,21.1,1.2,46.11805953052939,11.09016954653077,POINT (11.09016954653077 46.11805953052939),1
Celtis australis,20,863.12,28.7,4.61,1,0.16,0,0.09,,,35.9,0.18,,0.43,2.6,6,1.8,4,12.6,24.7,1.5,46.1181232371833,11.09011630405427,POINT (11.09011630405427 46.1181232371833),1
Celtis australis,20,863.12,28.7,4.61,1,0.16,0,0.08,,,31.8,0.16,,0.4,2.6,6,1.8,4,12.6,21.9,1.3,46.1181859449927,11.09006354137254,POINT (11.09006354137254 46.1181859449927),1
Celtis australis,20,863.12,28.7,4.61,1,0.16,0,0.07000000000000001,,,27.6,0.14,,0.37,2.6,6,1.8,4,12.6,19.1,1.1,46.118243227934,11.0900170445945,POINT (11.0900170445945 46.118243227934),1
Celtis australis,20,863.12,28.7,4.61,1,0.16,0,0.07000000000000001,,,27.6,0.14,,0.37,2.6,6,1.8,4,12.6,19.1,1.1,46.11837328724223,11.08990858811631,POINT (11.08990858811631 46.11837328724223),1
Celtis australis,20,863.12,28.7,4.61,1,0.16,0,0.07000000000000001,,,27.6,0.14,,0.37,2.6,6,1.8,4,12.6,19.1,1.1,46.11843470502532,11.08985745870011,POINT (11.08985745870011 46.11843470502532),1
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0,0.07000000000000001,,,30.6,0.16,,0.38,2.5,6,1.8,4,12.6,21.1,1.2,46.11848800443499,11.08981223451979,POINT (11.08981223451979 46.11848800443499),1
Celtis australis,20,863.12,28.7,4.61,1,0.16,0,0.09,,,35.9,0.18,,0.43,2.6,6,1.8,4,12.6,24.7,1.5,46.1185479665528,11.089761955816,POINT (11.089761955816 46.1185479665528),1
Celtis australis,20,863.12,28.7,4.61,1,0.16,0,0.07000000000000001,,,29.7,0.15,,0.38,2.6,6,1.8,4,12.6,20.5,1.2,46.11865441378581,11.08966994817234,POINT (11.08966994817234 46.11865441378581),1
Celtis australis,22,977.4,33.8,5.42,1.1,0.17,0,0.09,,,37.1,0.19,,0.45,2.8,6,1.8,4,12.6,25.6,1.5,46.11729264950355,11.09382945482661,POINT (11.09382945482661 46.11729264950355),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.07000000000000001,,,27.4,0.14,,0.31,1.7,5,1.5,4,12.6,18.9,1.1,46.11750136667338,11.09379517189678,POINT (11.09379517189678 46.11750136667338),1
Celtis australis,9,237.91,7.3,1.17,0.6,0.09,0,0.03,,,14.1,0.07000000000000001,,0.2,1.5,5,1.5,3,7.1,9.699999999999999,0.6,46.11754740535677,11.09387120499446,POINT (11.09387120499446 46.11754740535677),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.05,,,21.1,0.11,,0.26,1.7,5,1.5,4,12.6,14.5,0.9,46.1175867925537,11.09396639957453,POINT (11.09396639957453 46.1175867925537),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.06,,,24.2,0.12,,0.29,1.7,5,1.5,4,12.6,16.7,1,46.11762913785534,11.0940769782899,POINT (11.0940769782899 46.11762913785534),1
Celtis australis,9,237.91,7.3,1.17,0.6,0.09,0,0.03,,,14.5,0.07000000000000001,,0.2,1.5,4.5,1.3,3,7.1,10,0.6,46.11766885368734,11.09417878618478,POINT (11.09417878618478 46.11766885368734),1
Celtis australis,10,293.71,8.699999999999999,1.41,0.6,0.1,0,0.05,,,20.4,0.1,,0.25,1.6,5,1.5,3.5,9.6,14,0.8,46.11770383600459,11.09426876675095,POINT (11.09426876675095 46.11770383600459),1
Celtis australis,9,237.91,7.3,1.17,0.6,0.09,0,0.03,,,12.4,0.06,,0.18,1.5,5,1.5,3,7.1,8.5,0.5,46.11846336389964,11.09626222250434,POINT (11.09626222250434 46.11846336389964),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.04,,,16,0.08,,0.23,1.8,4.5,1.3,3,7.1,11,0.7,46.11842930159418,11.09617123891973,POINT (11.09617123891973 46.11842930159418),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.04,,,16,0.08,,0.23,1.8,4.5,1.3,3,7.1,11,0.7,46.11839482509795,11.09607829836659,POINT (11.09607829836659 46.11839482509795),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.04,,,15.1,0.08,,0.22,1.8,4.5,1.3,3,7.1,10.4,0.6,46.11835835105172,11.09598139942124,POINT (11.09598139942124 46.11835835105172),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.04,,,15.1,0.08,,0.22,1.8,4.5,1.3,3,7.1,10.4,0.6,46.11832209929569,11.09588709752608,POINT (11.09588709752608 46.11832209929569),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.03,,,13.2,0.07000000000000001,,0.21,1.8,4.5,1.3,3,7.1,9.1,0.5,46.11828320852972,11.09578946005086,POINT (11.09578946005086 46.11828320852972),1
Celtis australis,13,548.86,13.7,2.2,0.7,0.12,0.1,0.11,,,47.2,0.24,,0.47,2,5,1.5,5,19.6,32.6,1.9,46.11824545153434,11.0956888889566,POINT (11.0956888889566 46.11824545153434),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.04,,,16,0.08,,0.23,1.8,4.5,1.3,3,7.1,11,0.7,46.11820861501079,11.09559210621219,POINT (11.09559210621219 46.11820861501079),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.04,,,16,0.08,,0.23,1.8,4.5,1.3,3,7.1,11,0.7,46.11816745212181,11.09548584099086,POINT (11.09548584099086 46.11816745212181),1
